x,y,width,height,confidence,frame_id
585,100,513,736,0.886039,0
584,101,514,736,0.881976,1
582,119,511,728,0.874439,2
586,134,506,711,0.874839,3
585,136,511,704,0.88229,4
582,138,514,702,0.883843,5
578,140,529,700,0.888595,6
583,139,532,702,0.889562,7
583,138,532,704,0.890999,8
584,132,529,710,0.888895,9
585,137,527,703,0.88663,10
588,126,519,711,0.878556,11
591,94,508,747,0.889947,12
597,96,494,745,0.893763,13
596,85,494,756,0.896811,14
594,83,505,763,0.889628,15
596,70,506,780,0.894366,16
603,59,498,794,0.887488,17
626,53,475,799,0.877315,18
623,53,490,798,0.881202,19
653,46,451,813,0.866034,20
665,57,438,792,0.859412,21
697,56,396,790,0.837189,22
718,33,374,814,0.807058,23
729,40,360,806,0.816256,24
739,34,346,812,0.789104,25
737,41,352,802,0.787083,26
732,46,363,800,0.805635,27
724,40,384,810,0.801516,28
707,68,417,782,0.8216,29
705,69,434,787,0.80783,30
692,73,453,791,0.814341,31
685,75,474,772,0.835951,32
679,88,487,768,0.850861,33
683,94,478,760,0.853635,34
678,95,479,760,0.837533,35
666,93,485,766,0.845781,36
669,103,476,758,0.845983,37
664,112,469,747,0.848239,38
666,104,461,747,0.847186,39
663,111,461,730,0.85054,40
658,118,469,726,0.847363,41
652,110,482,747,0.864828,42
642,94,495,774,0.871062,43
656,97,476,771,0.864009,44
651,103,467,750,0.847661,45
638,98,479,745,0.832249,46
631,94,478,760,0.83091,47
619,95,486,755,0.841862,48
620,94,469,758,0.842866,49
626,85,441,761,0.850879,50
616,85,454,762,0.857793,51
612,88,444,753,0.861775,52
609,83,444,761,0.852769,53
611,86,446,762,0.844626,54
609,87,449,753,0.843598,55
600,87,464,755,0.846101,56
595,81,468,761,0.853131,57
596,80,478,764,0.855598,58
597,82,490,761,0.84658,59
602,84,487,758,0.835223,60
615,85,467,755,0.829925,61
667,86,397,755,0.825363,62
689,83,371,773,0.799219,63
698,81,363,788,0.806554,64
708,90,368,773,0.785504,65
713,84,358,796,0.779811,66
713,87,366,781,0.791219,67
713,98,363,772,0.783737,68
722,97,346,781,0.789935,69
719,97,340,786,0.791721,70
727,101,330,786,0.777306,71
728,99,332,788,0.787999,72
733,98,326,790,0.770822,73
736,98,331,792,0.787873,74
745,97,320,794,0.76998,75
754,97,311,792,0.743561,76
754,95,306,792,0.75741,77
758,92,301,792,0.741927,78
763,91,294,794,0.722236,79
766,94,301,788,0.724772,80
761,81,330,804,0.778032,81
752,78,362,807,0.747776,82
692,56,546,841,0.752387,83
728,71,432,820,0.706407,84
761,70,427,820,0.686177,85
748,83,365,804,0.6805,86
746,79,364,816,0.745421,87
750,70,295,821,0.700903,88
763,89,294,798,0.688607,89
756,69,311,822,0.728059,90
742,61,332,833,0.770256,91
732,58,355,834,0.761395,92
735,23,362,878,0.790614,93
731,1,376,906,0.798922,94
720,0,383,900,0.805556,95
750,9,355,876,0.726115,96
755,24,356,866,0.725605,97
762,33,350,843,0.704625,98
768,31,332,831,0.669526,99
771,43,337,821,0.679572,100
771,40,346,836,0.682817,101
774,28,345,857,0.682668,102
771,23,352,858,0.698965,103
783,28,345,852,0.664931,106
798,17,339,884,0.651724,107
798,1,345,900,0.679336,108
797,8,356,894,0.710988,109
793,9,365,896,0.71294,110
783,26,383,875,0.737232,111
782,12,391,893,0.749361,112
776,0,402,908,0.768,113
780,0,388,905,0.713764,114
783,0,381,905,0.724586,115
769,0,397,908,0.69515,116
757,2,410,900,0.7088,117
741,4,435,893,0.684084,118
718,0,459,888,0.738881,119
709,23,466,857,0.783308,120
703,7,477,884,0.789741,121
701,14,484,874,0.79494,122
696,12,479,875,0.795079,123
687,9,484,885,0.811105,124
681,12,488,883,0.81024,125
669,2,494,891,0.823107,126
640,0,531,891,0.859676,127
637,0,531,895,0.880891,128
630,0,538,886,0.88313,129
632,7,537,882,0.87481,130
636,27,534,852,0.878788,131
637,39,529,840,0.877268,132
631,37,536,842,0.881168,133
633,52,532,823,0.884237,134
635,56,532,812,0.871202,135
634,53,530,822,0.865019,136
635,46,528,831,0.85326,137
640,51,519,814,0.852883,138
635,52,526,812,0.868743,139
637,51,520,815,0.873171,140
640,49,518,831,0.874918,141
646,46,512,832,0.873447,142
647,47,512,828,0.863562,143
644,43,514,843,0.859129,144
622,46,544,841,0.882771,145
591,44,576,841,0.891012,146
588,54,564,828,0.891015,147
585,47,563,833,0.894469,148
589,58,548,812,0.900534,149
581,57,570,814,0.89436,150
579,65,582,807,0.896355,151
583,74,560,790,0.897673,152
585,82,558,774,0.898092,153
585,74,573,792,0.89452,154
587,77,568,790,0.894621,155
586,79,565,789,0.896279,156
586,84,564,779,0.891609,157
586,76,564,787,0.887086,158
587,65,554,807,0.896796,159
590,56,548,818,0.894516,160
589,58,556,818,0.891086,161
589,46,550,832,0.88432,162
589,44,536,833,0.877429,163
590,43,539,832,0.87984,164
593,36,532,832,0.881066,165
