nose_x,nose_y,nose_z,nose_visibility,nose_presence,left_eye_inner_x,left_eye_inner_y,left_eye_inner_z,left_eye_inner_visibility,left_eye_inner_presence,left_eye_x,left_eye_y,left_eye_z,left_eye_visibility,left_eye_presence,left_eye_outer_x,left_eye_outer_y,left_eye_outer_z,left_eye_outer_visibility,left_eye_outer_presence,right_eye_inner_x,right_eye_inner_y,right_eye_inner_z,right_eye_inner_visibility,right_eye_inner_presence,right_eye_x,right_eye_y,right_eye_z,right_eye_visibility,right_eye_presence,right_eye_outer_x,right_eye_outer_y,right_eye_outer_z,right_eye_outer_visibility,right_eye_outer_presence,left_ear_x,left_ear_y,left_ear_z,left_ear_visibility,left_ear_presence,right_ear_x,right_ear_y,right_ear_z,right_ear_visibility,right_ear_presence,mouth_left_x,mouth_left_y,mouth_left_z,mouth_left_visibility,mouth_left_presence,mouth_right_x,mouth_right_y,mouth_right_z,mouth_right_visibility,mouth_right_presence,left_shoulder_x,left_shoulder_y,left_shoulder_z,left_shoulder_visibility,left_shoulder_presence,right_shoulder_x,right_shoulder_y,right_shoulder_z,right_shoulder_visibility,right_shoulder_presence,left_elbow_x,left_elbow_y,left_elbow_z,left_elbow_visibility,left_elbow_presence,right_elbow_x,right_elbow_y,right_elbow_z,right_elbow_visibility,right_elbow_presence,left_wrist_x,left_wrist_y,left_wrist_z,left_wrist_visibility,left_wrist_presence,right_wrist_x,right_wrist_y,right_wrist_z,right_wrist_visibility,right_wrist_presence,left_pinky_x,left_pinky_y,left_pinky_z,left_pinky_visibility,left_pinky_presence,right_pinky_x,right_pinky_y,right_pinky_z,right_pinky_visibility,right_pinky_presence,left_index_x,left_index_y,left_index_z,left_index_visibility,left_index_presence,right_index_x,right_index_y,right_index_z,right_index_visibility,right_index_presence,left_thumb_x,left_thumb_y,left_thumb_z,left_thumb_visibility,left_thumb_presence,right_thumb_x,right_thumb_y,right_thumb_z,right_thumb_visibility,right_thumb_presence,left_hip_x,left_hip_y,left_hip_z,left_hip_visibility,left_hip_presence,right_hip_x,right_hip_y,right_hip_z,right_hip_visibility,right_hip_presence,left_knee_x,left_knee_y,left_knee_z,left_knee_visibility,left_knee_presence,right_knee_x,right_knee_y,right_knee_z,right_knee_visibility,right_knee_presence,left_ankle_x,left_ankle_y,left_ankle_z,left_ankle_visibility,left_ankle_presence,right_ankle_x,right_ankle_y,right_ankle_z,right_ankle_visibility,right_ankle_presence,left_heel_x,left_heel_y,left_heel_z,left_heel_visibility,left_heel_presence,right_heel_x,right_heel_y,right_heel_z,right_heel_visibility,right_heel_presence,left_foot_index_x,left_foot_index_y,left_foot_index_z,left_foot_index_visibility,left_foot_index_presence,right_foot_index_x,right_foot_index_y,right_foot_index_z,right_foot_index_visibility,right_foot_index_presence,frame_id
805.43,246.625,-343.038,0.999994,0.999981,811.441,229.375,-336.186,0.999974,0.999946,817.453,226.5,-336.22,0.999959,0.999938,821.461,226.5,-336.248,0.999953,0.999924,797.414,232.25,-335.063,0.999975,0.999948,793.406,232.25,-335.147,0.999954,0.999944,787.395,232.25,-335.14,0.999953,0.999933,829.477,232.25,-271.39,0.999943,0.999942,781.962,240.568,-265.361,0.999959,0.999953,817.453,263.875,-316.779,0.999993,0.999996,799.418,266.75,-315.12,0.999993,0.999996,867.551,312.75,-195.168,0.999994,0.999965,759.34,321.375,-195.565,0.999992,0.999969,895.605,401.875,-175.219,0.982882,0.999172,733.289,416.25,-180.501,0.988826,0.999606,857.531,462.25,-209.341,0.842221,0.998922,771.363,491,-213.837,0.896328,0.998709,849.516,482.375,-226.49,0.732626,0.99886,779.379,519.75,-229.916,0.81119,0.997797,841.5,473.75,-234.146,0.710586,0.999063,787.395,508.25,-239.237,0.799611,0.99836,843.504,465.125,-212.613,0.648832,0.999001,785.391,496.75,-216.997,0.752616,0.998477,853.523,476.625,-0.792528,0.999913,0.99986,791.402,479.5,0.786619,0.999912,0.9999,927.575,591.74,-51.9704,0.995957,0.998992,723.27,585.875,-57.1825,0.990781,0.999455,977.766,703.75,65.421,0.99319,0.996673,684.308,694.407,62.4026,0.992401,0.998788,977.333,726.261,73.0889,0.925307,0.996099,684.874,715.177,69.9485,0.940575,0.998543,1008.03,747.089,5.6622,0.977682,0.991559,653.158,739.301,4.11495,0.977635,0.995736,0
804.859,247.625,-311.337,0.999997,0.999987,810.883,227.5,-304.687,0.999983,0.999952,816.906,227.5,-304.728,0.999976,0.999947,820.922,224.625,-304.752,0.999969,0.999936,796.828,230.375,-303.102,0.999983,0.999952,792.812,230.375,-303.185,0.999973,0.999947,786.789,233.25,-303.168,0.999968,0.999936,830.961,230.375,-243.613,0.999966,0.99995,783.589,239.007,-235.531,0.999973,0.999953,816.906,264.875,-286.626,0.999996,0.999997,798.836,267.75,-284.333,0.999996,0.999996,869.109,310.875,-179.547,0.999997,0.999981,760.688,319.5,-172.247,0.999996,0.999979,899.491,408.593,-187.264,0.993619,0.999677,738.602,417.25,-179.864,0.989146,0.999822,861.078,457.5,-255.164,0.948764,0.999477,768.719,494.875,-245.766,0.934119,0.999204,853.047,477.625,-278.387,0.89031,0.999348,772.734,520.75,-266.882,0.869447,0.998512,843.008,466.125,-283.716,0.877279,0.999498,782.773,512.125,-275.346,0.859777,0.998941,845.016,460.375,-258.371,0.82526,0.999501,782.773,500.625,-249.664,0.809844,0.999076,855.055,480.5,-2.83219,0.999951,0.999879,792.812,480.5,2.82346,0.999945,0.999901,925.328,592.625,-63.0051,0.994777,0.999206,724.547,589.75,-63.9422,0.988274,0.999467,979.539,707.625,44.3983,0.990664,0.997127,682.028,701.579,43.5279,0.990772,0.99868,978.985,729.881,51.1801,0.916783,0.996463,683.406,721.777,49.9687,0.940551,0.998339,1007.79,747.578,-16.5431,0.971652,0.992606,646.455,739.163,-16.3016,0.974145,0.995635,1
809.555,255.5,-335.383,0.999996,0.999988,815.543,235.594,-329.325,0.999984,0.999962,821.531,235.594,-329.356,0.999975,0.999956,827.52,232.75,-329.383,0.999971,0.999946,801.57,238.438,-327.439,0.999984,0.999961,795.582,238.438,-327.519,0.999972,0.999957,791.59,241.281,-327.504,0.99997,0.999946,835.504,238.438,-267.201,0.999967,0.999956,786.886,246.958,-257.949,0.999971,0.99996,821.531,272.562,-309.938,0.999996,0.999997,801.57,278.25,-307.35,0.999995,0.999997,873.43,318.062,-196.079,0.999997,0.999981,765.641,326.594,-186.345,0.999995,0.999981,903.766,411.906,-183.038,0.991401,0.999563,747.676,423.281,-174.071,0.985962,0.999764,869.438,468.781,-225.897,0.926121,0.999121,777.617,500.062,-216.089,0.911089,0.99889,861.453,491.531,-244.623,0.856853,0.998868,781.609,528.5,-232.91,0.840327,0.997847,851.473,480.156,-251.692,0.844338,0.999099,789.594,519.969,-243.01,0.831742,0.998407,853.469,471.625,-229.044,0.799362,0.999119,791.59,508.594,-219.926,0.790733,0.998632,857.461,483,-5.0325,0.999937,0.999883,793.586,483,5.0474,0.999926,0.999903,925.328,599.594,-58.0976,0.995045,0.99907,723.723,588.219,-53.6601,0.990361,0.999379,977.227,710.5,55.2473,0.990294,0.995683,684.517,701.349,58.5343,0.991239,0.998203,977.775,729.558,62.9008,0.90698,0.994516,685.614,721.659,65.6552,0.939239,0.997736,999.111,749.861,-3.45881,0.969504,0.988507,647.888,741.309,1.21526,0.974259,0.993286,2
813.305,261.758,-325.32,0.999996,0.999981,819.234,239.539,-319.611,0.99998,0.999933,825.164,239.539,-319.652,0.999971,0.999923,831.094,236.762,-319.68,0.999964,0.999906,805.398,242.316,-317.763,0.999981,0.999936,799.469,242.316,-317.846,0.99997,0.999931,793.58,245.113,-317.832,0.999967,0.999918,839,242.316,-260.026,0.999962,0.999926,791.117,253.444,-250.834,0.999973,0.999944,825.164,278.422,-300.846,0.999996,0.999996,807.375,281.199,-298.268,0.999996,0.999996,878.531,320.082,-192.564,0.999997,0.999978,769.82,331.191,-184.199,0.999997,0.999982,909.996,411.535,-184.895,0.992456,0.999417,748.078,431.176,-181.651,0.988042,0.999782,876.555,470.059,-232.399,0.929875,0.998583,779.703,506.164,-235.543,0.921736,0.998804,870.625,492.277,-252.35,0.854444,0.998073,785.633,533.938,-254.921,0.850981,0.997532,860.742,481.168,-259.615,0.841972,0.998533,795.516,522.828,-263.234,0.841141,0.998223,862.719,472.836,-235.918,0.792886,0.998589,795.516,511.719,-239.052,0.795835,0.998495,862.719,489.5,-6.13116,0.99993,0.999827,799.469,486.723,6.15491,0.999931,0.999883,927.945,600.594,-58.7972,0.99404,0.998718,728.312,592.262,-52.0254,0.98978,0.999188,975.5,705.989,64.4496,0.988277,0.993902,685.612,699.901,67.2741,0.991078,0.997174,975.91,724.806,73.083,0.8944,0.9922,686.494,719.8,75.0041,0.936188,0.996367,997.132,747.909,7.36003,0.96036,0.983486,647.514,740.866,10.1722,0.970613,0.989269,3
818.543,262.5,-323.21,0.999993,0.99997,826.527,243.25,-317.12,0.999971,0.99991,830.52,243.25,-317.151,0.999953,0.999897,836.508,243.25,-317.182,0.999949,0.999872,812.555,246,-315.433,0.999976,0.999921,806.566,246,-315.512,0.999961,0.999918,800.578,248.75,-315.508,0.999963,0.999907,846.488,248.75,-256.918,0.999946,0.999899,797.132,257.053,-248.641,0.999966,0.999941,830.52,279,-298.673,0.999994,0.999994,812.555,281.75,-296.396,0.999994,0.999995,882.418,328.5,-187.67,0.999995,0.999961,774.629,336.75,-180.445,0.999995,0.999978,914.791,413.749,-158.998,0.986374,0.999153,754.668,433,-164.468,0.983447,0.999638,878.426,479.75,-177.92,0.856486,0.99763,784.609,512.75,-199.052,0.873644,0.998185,870.441,504.5,-192.432,0.736732,0.996795,788.602,540.25,-214.887,0.788192,0.996395,862.457,496.25,-201.554,0.722097,0.997454,798.582,532,-223.976,0.77829,0.997301,862.457,488,-181.391,0.677217,0.997539,798.582,521,-202.328,0.73944,0.997678,866.449,490.75,-5.07544,0.999919,0.999852,802.574,488,5.08874,0.999916,0.999911,934.316,603.5,-57.8871,0.994925,0.998426,730.715,589.75,-50.0489,0.990417,0.999132,980.227,708,62.9676,0.988495,0.992089,690.19,693.063,65.8962,0.990596,0.99682,978.795,723.963,71.4617,0.889936,0.990318,700.49,715.689,73.3952,0.926949,0.996104,1002.35,748.724,7.34007,0.959971,0.978926,654.856,737.636,9.70911,0.968498,0.987863,4
820.93,266.883,-342.263,0.999995,0.999985,826.953,247.688,-335.244,0.999981,0.999955,832.977,247.688,-335.257,0.999966,0.999946,839,244.945,-335.281,0.999965,0.999928,812.898,250.43,-333.788,0.999985,0.999961,806.875,253.172,-333.869,0.999974,0.999959,800.852,253.172,-333.867,0.999975,0.999952,847.031,250.43,-269.938,0.99996,0.999938,798.272,261.192,-262.473,0.999978,0.999967,832.977,283.336,-315.72,0.999995,0.999996,814.906,288.82,-313.733,0.999994,0.999997,887.188,327.211,-190.848,0.999995,0.999964,776.758,343.664,-188.746,0.999995,0.999982,916.65,409.474,-145.128,0.979825,0.999129,756.68,442.383,-158.495,0.986089,0.999605,881.164,475.289,-142.103,0.795232,0.99826,792.82,516.422,-173.847,0.873726,0.998635,875.141,499.969,-151.663,0.666279,0.997784,798.844,546.586,-186.202,0.79382,0.997352,867.109,491.742,-161.812,0.649813,0.998188,806.875,535.617,-194.916,0.783199,0.997988,869.117,483.516,-145.251,0.615868,0.998228,806.875,524.648,-176.205,0.750477,0.998242,869.117,489,-3.24609,0.999923,0.999876,804.867,489,3.25836,0.999923,0.999932,939.391,598.688,-66.1988,0.996242,0.998691,730.578,582.234,-61.0121,0.992617,0.999312,983.562,708.375,55.8593,0.991466,0.991686,692.698,692.739,55.8019,0.992643,0.99702,981.784,727.337,64.4139,0.907658,0.989718,705.226,714.896,63.2459,0.932312,0.996259,1007.98,750.299,-1.08262,0.969323,0.976368,660.31,737.915,-2.50522,0.974944,0.987344,5
825.969,265.781,-340.762,0.999995,0.999981,832.168,246.641,-333.619,0.999981,0.999943,838.367,246.641,-333.639,0.999967,0.999932,842.5,243.906,-333.669,0.999966,0.999912,817.703,249.375,-332.094,0.999985,0.999952,811.504,252.109,-332.172,0.999974,0.999951,805.715,252.296,-332.172,0.999976,0.999944,852.832,252.109,-269.296,0.999962,0.999922,803.161,260.68,-261.525,0.999977,0.999962,838.367,282.188,-314.876,0.999995,0.999995,817.703,284.922,-312.783,0.999995,0.999996,894.16,331.406,-192.506,0.999993,0.999939,780.508,342.344,-189.762,0.999993,0.999975,921.023,418.906,-149.279,0.981873,0.99867,761.91,443.516,-161.468,0.988172,0.999528,883.828,484.531,-147.259,0.815705,0.997633,797.039,520.078,-178,0.895374,0.998615,875.562,509.141,-157.317,0.694678,0.997165,803.238,547.422,-191.121,0.823438,0.997335,869.363,500.938,-167.853,0.680764,0.997633,811.504,536.484,-200.089,0.815133,0.997953,869.363,490,-150.64,0.648332,0.997644,811.504,525.547,-180.614,0.78833,0.998235,873.496,490,-3.74904,0.999915,0.999846,807.371,487.266,3.76699,0.999911,0.999919,943.754,602.109,-71.0042,0.996524,0.998353,732.98,582.969,-65.6322,0.993438,0.999258,987.148,711.484,48.0771,0.992594,0.990203,693.906,693.068,50.5575,0.993659,0.996812,985.082,730.625,56.2742,0.90964,0.98777,705.829,714.476,57.8718,0.93743,0.99599,1012.46,752.175,-10.7209,0.97421,0.972618,660.603,738.096,-8.58311,0.979279,0.986454,6
832.375,265.141,-330.038,0.999996,0.999985,838.609,245.945,-322.836,0.999983,0.999956,842.766,245.945,-322.858,0.999973,0.999949,849,243.203,-322.883,0.99997,0.999934,824.062,248.688,-321.932,0.999986,0.999963,817.828,248.688,-322.01,0.999978,0.999962,813.672,251.43,-322.01,0.999979,0.999957,857.312,251.43,-259.059,0.999966,0.999941,808.437,259.676,-254.058,0.999981,0.99997,844.844,281.594,-304.431,0.999996,0.999996,824.062,284.336,-303.146,0.999996,0.999997,898.875,330.953,-184.494,0.999994,0.99995,786.656,341.922,-187.176,0.999994,0.999978,929.008,415.961,-152.028,0.981825,0.998975,767.953,443.383,-167.448,0.989211,0.999613,892.641,476.289,-164.748,0.83121,0.998374,805.359,517.422,-193.449,0.905587,0.998811,884.328,500.969,-177.13,0.709651,0.998017,811.594,544.844,-208.638,0.832609,0.997759,876.016,492.742,-186.589,0.693344,0.998397,819.906,536.617,-216.606,0.822152,0.998294,878.094,481.773,-168.219,0.650563,0.998419,819.906,525.648,-195.992,0.786691,0.998502,878.094,490,-1.84746,0.999924,0.999873,811.594,487.258,1.87333,0.999927,0.999936,946.672,602.43,-59.9582,0.996296,0.998736,736.781,588.719,-58.8443,0.994618,0.99943,988.234,703.891,67.0868,0.991647,0.993801,696.775,691.702,63.3404,0.994184,0.997774,984.18,722.972,75.9795,0.907076,0.992678,708.811,715.894,71.229,0.939173,0.997243,1013.19,747.251,10.236,0.970273,0.982902,664.053,737.865,5.12517,0.978651,0.990501,7
838.609,267.25,-327.449,0.999995,0.999985,844.844,248,-320.461,0.999983,0.99996,849,245.25,-320.47,0.999972,0.999953,855.234,245.25,-320.497,0.99997,0.999941,830.297,250.75,-319.341,0.999987,0.999964,824.062,250.75,-319.413,0.999979,0.999963,819.906,253.5,-319.415,0.999979,0.999957,865.625,250.75,-256.219,0.999966,0.999949,816.165,261.599,-250.403,0.999981,0.999968,851.078,281,-301.374,0.999995,0.999995,832.375,286.5,-299.877,0.999994,0.999996,905.109,325,-177.265,0.999994,0.999958,794.969,341.5,-179.167,0.999994,0.999973,934.203,407.5,-129.709,0.968714,0.999064,772.685,440.333,-148.955,0.98454,0.99939,907.188,476.25,-125.832,0.758536,0.997792,805.359,514.75,-164.809,0.870429,0.998219,903.031,498.25,-133.757,0.623413,0.997056,811.594,542.25,-176.69,0.788995,0.996863,896.797,492.75,-145.564,0.613645,0.997564,819.906,531.25,-185.349,0.780134,0.997556,896.797,484.5,-129.662,0.585026,0.997737,819.906,520.25,-167.251,0.744499,0.997827,884.328,487.25,-1.6366,0.999928,0.999899,817.828,487.25,1.66548,0.99991,0.999933,950.828,597.25,-63.5684,0.996814,0.999027,743.016,591.75,-48.6122,0.994989,0.999331,988.234,704.5,51.8845,0.992943,0.992866,698.306,693.399,65.2772,0.993365,0.996089,984.941,723.526,59.7701,0.918462,0.990925,712.503,718.311,72.5021,0.925462,0.995234,1013.19,747.876,-6.63597,0.973905,0.97667,666.151,739.868,6.19704,0.975349,0.984231,8
844.367,259.578,-325.828,0.999997,0.999994,850.566,240.164,-318.602,0.99999,0.999984,854.699,240.164,-318.604,0.999985,0.999981,860.898,237.391,-318.626,0.999983,0.999976,834.035,242.938,-317.13,0.999992,0.999984,829.902,245.711,-317.199,0.999987,0.999982,823.703,245.711,-317.195,0.999986,0.999978,871.23,242.938,-253.004,0.999979,0.99998,820.421,253.985,-245.561,0.999987,0.999982,856.766,276.219,-299.282,0.999996,0.999998,836.102,278.992,-297.32,0.999995,0.999997,910.492,320.594,-173.095,0.999996,0.99998,800.973,337.234,-172.38,0.999995,0.999973,941.488,406.57,-131.521,0.970954,0.999524,779.335,434.213,-141.233,0.981866,0.999412,916.691,464.812,-140.467,0.801083,0.998961,811.305,506.414,-161.958,0.855375,0.998333,910.492,487,-149.926,0.680954,0.998505,817.504,531.375,-173.627,0.764403,0.997221,904.293,481.453,-160.419,0.667016,0.998818,825.77,520.281,-182.507,0.751658,0.9979,904.293,473.133,-143.914,0.627766,0.998952,825.77,511.961,-164.489,0.702068,0.998114,891.895,484.227,-0.341951,0.999946,0.999941,825.77,487,0.373768,0.999917,0.999947,960.086,595.164,-57.6191,0.99706,0.999345,745.18,592.391,-41.2678,0.995968,0.999376,991.082,700.555,59.003,0.993146,0.994676,699.899,692.171,74.0974,0.992923,0.99607,986.15,719.818,67.072,0.925905,0.993309,712.861,715.465,81.6284,0.918728,0.995383,1017.88,745.979,1.83047,0.973251,0.981819,666.672,737.575,16.6643,0.97111,0.985131,9
